<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
27.09.2018;116290;116440;116280;116370
27.09.2018;116380;116420;116330;116350
27.09.2018;116350;116360;116310;116310
27.09.2018;116330;116350;116310;116340
27.09.2018;116330;116350;116300;116340
27.09.2018;116350;116390;116320;116390
27.09.2018;116390;116440;116350;116360
27.09.2018;116350;116390;116320;116330
27.09.2018;116330;116410;116320;116400
27.09.2018;116380;116430;116380;116400
27.09.2018;116410;116410;116340;116340
27.09.2018;116350;116360;116300;116340
27.09.2018;116350;116370;116310;116320
27.09.2018;116320;116340;116320;116340
27.09.2018;116350;116350;116300;116330
27.09.2018;116330;116370;116320;116370
27.09.2018;116370;116380;116340;116360
27.09.2018;116340;116370;116330;116370
27.09.2018;116370;116390;116340;116340
27.09.2018;116350;116360;116330;116350
27.09.2018;116340;116350;116270;116280
27.09.2018;116280;116330;116270;116320
27.09.2018;116320;116350;116310;116310
27.09.2018;116330;116330;116310;116310
27.09.2018;116310;116350;116300;116350
27.09.2018;116360;116370;116330;116340
27.09.2018;116330;116360;116330;116350
27.09.2018;116340;116380;116340;116350
27.09.2018;116350;116360;116300;116330
27.09.2018;116340;116560;116330;116550
27.09.2018;116540;116610;116490;116510
27.09.2018;116510;116530;116470;116480
27.09.2018;116480;116560;116470;116540
27.09.2018;116530;116600;116530;116550
27.09.2018;116550;116570;116530;116550
27.09.2018;116560;116660;116560;116640
27.09.2018;116640;116680;116610;116650
27.09.2018;116660;116810;116640;116710
27.09.2018;116720;116740;116640;116700
27.09.2018;116710;116740;116700;116720
27.09.2018;116730;116740;116710;116730
27.09.2018;116720;116730;116670;116670
27.09.2018;116670;116700;116600;116650
27.09.2018;116660;116710;116650;116700
27.09.2018;116700;116720;116660;116690
27.09.2018;116690;116730;116680;116690
27.09.2018;116690;116700;116680;116690
27.09.2018;116690;116700;116680;116680
27.09.2018;116680;116740;116670;116730
27.09.2018;116730;116780;116720;116770
27.09.2018;116770;116850;116760;116760
27.09.2018;116760;116810;116750;116810
27.09.2018;116810;116850;116790;116800
27.09.2018;116810;116870;116790;116860
27.09.2018;116860;116930;116810;116810
27.09.2018;116830;116900;116830;116900
27.09.2018;116900;116920;116860;116900
