27/09/18 - Открытие;27/09/18 - Максимум;27/09/18 - Минимум;27/09/18 - Закрытие;02/10/18 -  Открытие;02/10/18 - Максимум;02/10/18 - Минимум;02/10/18 - Закрытие;27/11/18 - Открытие;27/11/18 - Максимум;27/11/18 - Минимум;27/11/18 - Закрытие;04/12/18 - Открытие;04/12/18 - Максимум;04/12/18 - Минимум;04/12/18 - Закрытие
115480;115500;115470;115490;118090;118100;118050;118080;108940;109020;108890;108980;115210;115290;115210;115280
115500;115530;115480;115510;118090;118110;118030;118080;108990;109020;108970;108980;115280;115300;115230;115240
115510;115530;115450;115460;118070;118080;118020;118070;108970;109030;108900;109030;115250;115320;115250;115310
115450;115480;115430;115440;118070;118130;118050;118100;109030;109120;108990;109080;115310;115350;115280;115300
115440;115520;115430;115510;118100;118150;118090;118120;109080;109140;109060;109110;115290;115320;115260;115270
115520;115520;115460;115490;118120;118130;118070;118090;109120;109190;109120;109150;115260;115290;115240;115280
115500;115580;115490;115540;118100;118110;118040;118060;109160;109250;109130;109150;115290;115290;115230;115250
115540;115590;115530;115560;118060;118060;117890;117910;109170;109200;109070;109070;115260;115290;115220;115240
115550;115590;115510;115590;117910;117940;117850;117880;109070;109100;109020;109050;115240;115250;115220;115250
115590;115740;115590;115690;117890;117910;117820;117840;109050;109090;109020;109040;115240;115310;115230;115240
115700;115710;115660;115700;117850;117850;117720;117810;109060;109090;108990;109000;115240;115260;115220;115230
115690;115700;115560;115600;117800;117830;117770;117810;109020;109040;108930;109000;115240;115240;115210;115240
115600;115630;115480;115490;117820;117870;117780;117860;109010;109070;108810;108830;115240;115250;115200;115250
115500;115520;115440;115470;117840;117950;117840;117940;108830;108880;108730;108860;115250;115280;115210;115210
115460;115490;115410;115440;117930;117940;117890;117920;108870;108920;108820;108920;115210;115240;115200;115230
115450;115500;115420;115500;117890;117930;117760;117780;108930;108930;108860;108930;115230;115280;115220;115250
115490;115510;115470;115470;117780;117790;117480;117500;108920;108930;108840;108900;115240;115260;115170;115200
115470;115480;115410;115450;117500;117590;117440;117580;108880;108900;108810;108880;115200;115240;115170;115220
115450;115470;115420;115440;117590;117650;117570;117600;108880;108900;108830;108840;115220;115220;115160;115210
115440;115460;115380;115390;117620;117680;117610;117650;108840;108940;108830;108930;115200;115240;115190;115220
115390;115390;115330;115350;117650;117660;117570;117630;108920;108940;108850;108930;115230;115260;115210;115260
115340;115370;115280;115280;117620;117620;117500;117570;108930;108930;108840;108900;115260;115290;115250;115280
115280;115350;115270;115290;117570;117570;117480;117540;108900;108930;108840;108900;115280;115310;115240;115310
115280;115290;115230;115250;117530;117550;117480;117540;108900;108940;108880;108910;115310;115410;115300;115370
115250;115260;115220;115250;117530;117560;117410;117530;108910;109030;108910;108910;115380;115410;115330;115390
115240;115270;115210;115260;117520;117530;117470;117470;108910;108980;108900;108960;115390;115440;115390;115430
115250;115270;115200;115250;117470;117490;117340;117380;108970;109000;108880;108920;115430;115500;115430;115480
115230;115310;115210;115310;117370;117380;117230;117260;108920;108960;108860;108860;115490;115550;115470;115520
115310;115320;115250;115260;117260;117280;117220;117250;108860;108930;108860;108900;115520;115530;115470;115510
115260;115310;115240;115260;117260;117310;117240;117300;108900;108970;108880;108940;115510;115530;115450;115490
115250;115270;115230;115240;117290;117330;117150;117330;108910;108950;108860;108940;115490;115500;115460;115470
115230;115250;115140;115200;117330;117350;117300;117330;108950;109030;108900;109010;115480;115580;115480;115560
115190;115300;115170;115290;117330;117380;117300;117340;109000;109120;109000;109010;115550;115620;115520;115620
115280;115660;115280;115500;117340;117350;117300;117300;109030;109060;108970;108990;115610;115640;115570;115610
115490;115640;115470;115600;117300;117360;117290;117330;108970;109000;108900;108960;115610;115630;115560;115590
115600;115780;115600;115730;117330;117340;117300;117330;108960;109000;108940;108940;115590;115750;115570;115710
115720;115790;115680;115790;117320;117360;117300;117310;108940;108990;108870;108970;115720;115830;115710;115750
115790;115790;115660;115740;117310;117320;117260;117280;108970;109000;108770;108810;115750;115810;115720;115750
115730;115920;115700;115890;117290;117300;117120;117220;108810;108840;108770;108800;115760;115770;115700;115710
115890;115970;115870;115870;117210;117240;117180;117220;108790;108800;108670;108790;115710;115770;115700;115740
115880;116060;115850;116050;117220;117260;117210;117220;108780;108850;108780;108810;115730;115750;115680;115690
116050;116100;115960;115990;117220;117270;117190;117190;108810;108820;108690;108780;115690;115730;115660;115670
115990;116050;115940;115990;117200;117270;117160;117250;108770;108850;108760;108830;115670;115680;115630;115670
115980;115990;115930;115940;117250;117260;117200;117250;108820;108820;108630;108710;115660;115700;115620;115640
115950;115950;115880;115930;117260;117320;117230;117310;108730;108850;108720;108820;115650;115690;115630;115660
115950;115950;115870;115880;117310;117340;117260;117290;108820;108890;108820;108830;115660;115670;115590;115590
115870;115900;115800;115800;117300;117310;117250;117260;108820;108860;108810;108820;115590;115620;115570;115620
115800;115890;115790;115840;117250;117260;117200;117240;108830;108840;108700;108720;115610;115630;115560;115560
115850;115880;115820;115820;117240;117260;117200;117230;108720;108850;108710;108840;115570;115610;115550;115590
115830;115860;115770;115770;117230;117290;117210;117280;108840;108840;108770;108780;115600;115610;115560;115610
115790;115850;115740;115830;117290;117290;117220;117270;108790;108840;108780;108820;115600;115640;115590;115620
115850;115900;115830;115900;117250;117300;117250;117290;108810;108850;108800;108850;115620;115630;115560;115590
115900;115940;115880;115920;117290;117390;117240;117370;108840;108860;108800;108850;115590;115610;115510;115530
115910;115940;115880;115930;117370;117400;117320;117330;108850;108940;108830;108940;115540;115580;115530;115550
115920;115950;115870;115870;117320;117410;117300;117410;108930;109050;108930;108990;115550;115570;115520;115530
115870;115900;115820;115850;117410;117470;117370;117450;108990;109040;108970;109010;115530;115540;115450;115480
115870;115900;115850;115860;117450;117550;117430;117500;109020;109150;109000;109110;115470;115510;115460;115480
115870;115900;115860;115880;117500;117500;117420;117440;109130;109190;109070;109070;115470;115520;115460;115520
115900;115910;115780;115840;117430;117450;117410;117450;109070;109100;109020;109050;115530;115540;115470;115500
115850;115930;115830;115910;117440;117520;117440;117510;109050;109060;108990;109000;115500;115510;115470;115500
115900;115950;115900;115930;117500;117520;117450;117460;109000;109060;108990;109040;115500;115500;115460;115470
115930;115970;115920;115970;117480;117520;117460;117520;109040;109120;109040;109070;115470;115500;115430;115480
115960;116020;115900;115960;117510;117520;117430;117440;109060;109130;109050;109110;115480;115490;115420;115470
115960;116040;115920;115950;117440;117480;117400;117480;109130;109160;109100;109130;115470;115490;115430;115460
115950;115950;115870;115900;117470;117480;117430;117430;109140;109190;109100;109140;115460;115490;115420;115430
115890;116010;115880;116010;117450;117460;117340;117450;109140;109290;109120;109230;115440;115460;115420;115460
115990;116030;115980;116010;117460;117510;117440;117480;109220;109280;109160;109170;115440;115490;115440;115470
116030;116030;115970;115970;117480;117500;117410;117410;109180;109230;109170;109220;115470;115580;115470;115540
115970;116030;115970;116030;117420;117460;117410;117450;109210;109250;109200;109250;115530;115580;115510;115530
116030;116250;116030;116140;117460;117540;117430;117530;109250;109450;109240;109430;115530;115530;115480;115500
116150;116160;116080;116110;117530;117600;117420;117420;109430;109470;109400;109410;115490;115520;115460;115470
116110;116180;116110;116160;117430;117450;117410;117420;109410;109460;109410;109460;115480;115500;115460;115470
116160;116210;116090;116090;117410;117420;117340;117360;109460;109480;109400;109420;115470;115500;115420;115450
116090;116150;116020;116020;117370;117370;117280;117370;109420;109440;109390;109420;115470;115560;115460;115520
116020;116080;116010;116030;117360;117430;117330;117390;109420;109430;109370;109400;115530;115540;115420;115480
116040;116080;116030;116060;117410;117410;117340;117370;109400;109450;109380;109410;115480;115480;115370;115380
116060;116140;116010;116010;117360;117370;117280;117280;109410;109450;109370;109370;115380;115480;115370;115460
116010;116060;116010;116010;117280;117350;117280;117350;109380;109480;109360;109480;115470;115510;115420;115420
116010;116030;116000;116000;117340;117370;117320;117360;109480;109510;109430;109480;115440;115460;115360;115450
116000;116060;115980;116050;117370;117370;117330;117360;109480;109480;109380;109410;115450;115450;115360;115390
116040;116040;115990;116020;117370;117370;117310;117320;109410;109420;109360;109390;115390;115410;115360;115360
116020;116050;115980;115980;117320;117360;117300;117360;109380;109400;109360;109360;115360;115420;115360;115400
115970;116000;115920;115980;117350;117380;117320;117380;109370;109390;109300;109330;115400;115410;115370;115410
115990;116040;115960;116030;117390;117420;117380;117420;109330;109370;109310;109340;115420;115450;115410;115440
116020;116030;115920;116010;117410;117420;117360;117380;109330;109350;109280;109290;115450;115450;115420;115440
116010;116090;116000;116060;117360;117380;117280;117340;109290;109310;109210;109230;115440;115480;115430;115460
116060;116080;116000;116000;117340;117390;117310;117350;109220;109330;109220;109310;115460;115530;115450;115520
116010;116060;115990;116000;117340;117350;117210;117270;109320;109340;109300;109320;115520;115530;115450;115490
115990;116040;115990;116010;117270;117330;117260;117320;109310;109440;109290;109410;115500;115560;115480;115540
116010;116020;115890;115910;117320;117340;117270;117340;109410;109430;109280;109280;115540;115620;115520;115600
115910;115970;115890;115970;117340;117360;117320;117330;109280;109450;109280;109440;115580;115690;115580;115620
115970;115970;115910;115940;117320;117370;117310;117370;109430;109450;109290;109320;115630;115680;115580;115610
115930;116000;115930;115980;117370;117370;117310;117330;109330;109350;109240;109250;115610;115640;115560;115580
115990;116050;115980;116030;117330;117340;117280;117290;109240;109280;109240;109250;115590;115630;115590;115610
116030;116050;116000;116010;117290;117320;117260;117300;109250;109280;109210;109270;115610;115630;115570;115580
116020;116070;115990;116010;117310;117320;117280;117320;109280;109280;109180;109190;115580;115580;115550;115570
116010;116070;115980;116050;117320;117320;117240;117270;109180;109210;109120;109160;115570;115590;115550;115580
116060;116060;115990;116050;117290;117320;117250;117320;109170;109200;109150;109170;115590;115620;115540;115600
116030;116080;116030;116050;117320;117410;117320;117370;109160;109180;109120;109120;115600;115610;115540;115550
116040;116050;116030;116030;117380;117400;117340;117390;109120;109170;109120;109150;115560;115570;115450;115460
116030;116120;116030;116100;117390;117430;117350;117420;109160;109370;109150;109360;115460;115490;115410;115440
116090;116100;116040;116050;117420;117460;117400;117440;109370;109460;109350;109370;115440;115520;115440;115520
116060;116120;116050;116090;117440;117440;117340;117370;109370;109460;109370;109420;115520;115520;115420;115460
116100;116120;116090;116110;117370;117370;117320;117350;109420;109450;109400;109450;115460;115500;115450;115470
116120;116140;116090;116130;117340;117390;117340;117370;109460;109470;109420;109420;115490;115490;115470;115470
116120;116120;116080;116080;117380;117460;117360;117460;109440;109530;109420;109500;115480;115530;115480;115500
116080;116150;116080;116130;117460;117480;117430;117450;109510;109620;109490;109600;115500;115500;115450;115480
116130;116150;116090;116110;117460;117480;117410;117450;109600;109650;109580;109620;115480;115510;115470;115510
116120;116120;116060;116090;117450;117490;117440;117450;109630;109690;109590;109660;115510;115530;115460;115470
116100;116120;116070;116100;117460;117480;117450;117450;109670;109710;109610;109640;115470;115490;115430;115470
116100;116140;116080;116100;117460;117470;117430;117460;109640;109680;109580;109580;115460;115490;115400;115490
116110;116110;116080;116080;117470;117480;117430;117460;109590;109620;109560;109620;115480;115540;115470;115520
116080;116090;116040;116080;117450;117470;117410;117420;109620;109650;109600;109610;115530;115530;115490;115500
116070;116070;116040;116040;117420;117430;117380;117410;109620;109730;109610;109660;115500;115520;115500;115510
116030;116080;116030;116040;117400;117400;117360;117390;109650;109680;109620;109650;115520;115550;115520;115530
116060;116070;116030;116030;117390;117410;117360;117360;109650;109680;109570;109580;115530;115530;115500;115520
116030;116030;115990;115990;117360;117370;117200;117200;109580;109630;109550;109620;115510;115520;115440;115450
115990;116010;115940;115960;117210;117280;117160;117170;109620;109700;109620;109670;115450;115490;115440;115490
115970;116010;115950;115980;117170;117190;117080;117130;109670;109680;109620;109660;115490;115490;115460;115480
115980;116020;115980;115990;117140;117160;117020;117040;109660;109710;109640;109680;115480;115540;115480;115530
115990;115990;115950;115970;117030;117080;117000;117070;109680;109710;109610;109690;115530;115560;115520;115560
115970;116030;115960;116030;117060;117090;116960;116990;109690;109700;109640;109680;115560;115560;115500;115540
116030;116030;115990;116000;116980;116990;116840;116960;109690;109720;109630;109660;115540;115540;115520;115530
116000;116010;115970;116000;116960;117050;116930;117030;109650;109660;109610;109660;115540;115550;115510;115540
116000;116000;115960;115960;117040;117110;117020;117090;109670;109690;109630;109650;115540;115540;115490;115540
115960;115990;115950;115990;117100;117110;117070;117090;109630;109670;109610;109650;115540;115560;115530;115540
115990;116000;115980;115990;117100;117110;117060;117070;109660;109720;109650;109710;115530;115600;115530;115600
115990;116020;115970;115970;117080;117120;117050;117060;109710;109730;109600;109610;115590;115620;115570;115610
115980;115990;115900;115940;117060;117130;117060;117100;109630;109650;109570;109610;115610;115630;115540;115550
115950;115970;115940;115950;117100;117120;117060;117060;109610;109620;109580;109600;115550;115570;115520;115560
115970;115970;115940;115960;117060;117060;117010;117040;109600;109660;109590;109620;115560;115570;115530;115550
115930;115930;115910;115910;117050;117050;117000;117040;109620;109620;109500;109540;115550;115560;115520;115520
115920;115940;115890;115900;117040;117060;117020;117030;109550;109550;109380;109390;115520;115590;115520;115570
115910;115930;115850;115930;117040;117080;117000;117080;109400;109450;109380;109410;115570;115600;115540;115550
115940;115940;115920;115930;117070;117120;117070;117100;109410;109440;109380;109410;115550;115570;115530;115570
